DEPTH;AZIMUTH;DIP
0;279.9;-60.2
5;279.5;-60.2
10;279.3;-60
15;278.7;-59.6
20;277.9;-58.8
25;277.3;-57.9
30;276.7;-56.9
35;276.2;-55.9
40;276;-55.5
45;275.9;-55.4
50;276;-55.4
55;276;-55.3
60;276;-55.3
65;276;-55.2
70;276.2;-55
75;276.1;-54.9
80;276.2;-54.8
85;276.3;-54.8
90;276.2;-54.8
95;276.3;-54.8
100;276.2;-54.7
105;276.2;-54.7
110;276.2;-54.8
115;276.2;-54.8
120;276.3;-54.8
125;276.3;-54.8
130;276.4;-54.8
135;276.3;-54.8
140;276.2;-54.9
145;276;-54.7
150;275.8;-54.8
155;275.8;-54.8
160;275.8;-54.7
165;275.8;-54.8
170;275.7;-54.7
175;275.7;-54.7
180;275.8;-54.7
185;275.8;-54.7
190;275.8;-54.7
195;275.7;-54.7
200;275.7;-54.7
205;275.6;-54.7
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
